global_step,epoch,loss
2,1,3.4351539611816406
3,1,2.7865161895751953
4,1,2.1897311210632324
5,1,0.00028459078748710454
6,1,0.0
7,1,9.297460201196373e-05
8,2,nan
9,2,nan
