global_step,epoch,loss
2,1,3.814596176147461
3,1,2.508455276489258
4,1,2.6456894874572754
5,2,1.4027693271636963
6,2,1.8855453729629517
7,2,4.821866989135742
8,3,2.070223331451416
9,3,3.816774368286133
10,3,5.314485549926758
